ano;codigo;uf;vinculos_executivo_federal;vinculos_executivo_estadual;vinculos_executivo_municipal;vinculos_legislativo_federal;vinculos_legislativo_estadual;vinculos_legislativo_municipal;vinculos_judiciario_federal;vinculos_judiciario_estadual
1998;23;CE;18928;84460;123171;0;1888;1122;1476;2534
1998;22;PI;6276;55247;33670;0;1759;308;649;1723
1998;21;MA;10464;62564;50626;0;828;1838;794;2710
1998;17;TO;1858;34709;15334;0;995;217;234;765
1998;16;AP;2852;15900;3735;0;176;272;176;882
1998;15;PA;22936;95583;58030;0;2268;1349;1775;3061
1998;14;RR;11012;2021;92;0;166;385;248;531
1998;13;AM;11292;46826;24373;0;1289;607;1369;1327
1998;12;AC;2249;28088;8118;0;651;408;197;912
1999;27;AL;6337;28643;47663;0;1741;1024;1031;1360
1999;53;DF;235593;114373;0;22371;2727;0;20283;52
1999;52;GO;9879;72100;90641;0;545;989;1783;4130
1999;51;MT;8192;28975;35672;0;1112;1120;880;3202
1999;50;MS;7077;40946;40371;0;2305;864;823;2943
1999;43;RS;25958;149111;217259;0;0;1988;5164;8310
1999;42;SC;11309;76189;107655;0;1792;1127;2347;3937
1999;41;PR;15971;132012;199632;0;1926;2296;2899;4950
1999;35;SP;38420;664270;628162;0;4984;13303;12580;48942
1999;33;RJ;134584;210125;220830;0;2317;5375;5909;11186
1999;32;ES;7808;38478;70770;0;263;1736;922;2919
1999;31;MG;41162;319482;376927;0;6277;6887;5658;10459
1999;29;BA;24147;192623;159862;0;1631;1496;3739;9760
1999;28;SE;4487;38102;32488;0;1043;370;755;2269
1999;26;PE;21469;126463;126989;0;1111;2294;2372;3276
1999;25;PB;13740;65040;80961;0;0;843;1488;0
1999;24;RN;11033;55206;53457;0;0;1070;1240;0
1999;23;CE;17796;82864;129602;0;1928;1324;1536;2875
1999;22;PI;5965;55077;35690;0;1751;343;675;1643
1999;21;MA;9702;55967;54030;0;943;1847;839;2660
1999;17;TO;1835;33361;16763;0;1374;297;253;1165
1999;16;AP;10939;7687;3527;0;256;219;190;940
1999;15;PA;18135;90700;63800;0;2726;1459;1507;3015
1999;14;RR;10462;2130;6;0;178;402;193;471
1999;13;AM;8863;47518;26981;0;1305;567;1321;1253
1999;12;AC;2153;26452;7103;0;637;512;185;957
1999;11;RO;4657;38765;23562;0;1148;343;1078;2333
2000;29;BA;24301;197121;157600;0;3015;1678;3615;10181
2000;53;DF;245069;171745;0;20922;2394;0;21517;48
2000;52;GO;10763;82626;93422;0;1130;1077;1746;4189
2000;51;MT;7291;29234;41669;0;1024;1278;853;3089
2000;50;MS;7876;41996;43204;0;2117;965;808;3014
2000;43;RS;29768;151666;226860;0;0;3146;5107;8619
2000;42;SC;11646;80651;110610;0;1796;1640;2330;3991
2000;41;PR;17145;127787;206807;0;0;2351;2882;4897
2000;35;SP;45166;676013;660380;0;4348;13828;12575;49154
2000;33;RJ;142618;213953;218293;0;2287;5597;7459;12657
2000;32;ES;7637;39849;72317;0;887;1926;1115;3096
2000;31;MG;42301;320956;392814;0;4739;7413;6063;10653
2000;28;SE;4443;38886;34474;0;1035;537;779;2297
2000;27;AL;6268;28779;50462;0;1075;1016;853;1187
2000;26;PE;24277;125988;122253;0;1074;1895;3135;3902
2000;25;PB;13472;63433;82148;0;0;938;1542;0
2000;24;RN;12634;54974;57840;0;0;1092;1324;0
2000;23;CE;18153;78385;129537;0;1869;1217;1555;3509
2000;22;PI;5840;51945;36918;0;1774;340;688;2130
2000;21;MA;9718;53924;55476;0;2967;1780;842;2343
2000;17;TO;1820;36360;18202;0;1397;269;235;1172
2000;16;AP;10793;6405;3051;0;85;246;237;915
2000;15;PA;19791;82672;70388;0;2467;1372;1682;2803
2000;14;RR;9113;47;1219;0;225;451;215;472
2000;13;AM;10139;45970;28259;0;1133;650;1417;1262
2000;12;AC;2105;25827;7653;0;565;398;362;940
2000;11;RO;5159;39527;26829;0;1113;685;1072;2306
2001;14;RR;8897;2963;413;0;249;472;182;552
2001;53;DF;231488;119351;0;23137;2434;0;21826;51
2001;52;GO;10712;90460;114451;0;926;1791;1713;4347
2001;51;MT;6656;24281;48962;0;2035;1241;863;4136
2001;50;MS;7869;38371;51021;0;1688;1083;877;3232
2001;43;RS;29465;158848;233834;0;0;3277;5348;9077
2001;42;SC;11483;78187;131193;0;1831;2220;2398;4078
2001;41;PR;17028;124835;217740;0;651;3660;2948;4937
2001;35;SP;43400;696567;711866;0;4456;14864;13003;48471
2001;33;RJ;141247;216687;252724;0;2312;5556;9039;14240
2001;32;ES;8066;62193;83353;0;955;2259;1150;3084
2001;31;MG;41792;287399;453320;0;5996;7887;5629;10909
2001;13;AM;10506;45713;32466;0;450;770;1412;1229
2001;29;BA;21213;163318;211911;0;3551;2216;3165;9073
2001;28;SE;4364;38776;42516;0;2701;865;715;2465
2001;12;AC;2162;26576;8399;0;567;278;189;1032
2001;27;AL;6451;30609;58527;0;1058;877;830;1120
2001;26;PE;22291;94085;138326;0;1013;1833;3208;4011
2001;11;RO;5545;22303;32738;0;1258;825;1070;2336
2001;25;PB;14006;72224;91586;0;0;1416;1540;0
2001;24;RN;12725;105990;69367;0;0;1061;1155;0
2001;23;CE;17299;78475;139415;0;1864;1415;1568;3418
2001;22;PI;5793;53256;42660;0;1761;356;681;1889
2001;21;MA;9609;55926;64056;0;3007;1938;873;4411
2001;17;TO;1775;38740;25778;0;1243;951;249;1474
2001;16;AP;10621;1327;5285;0;154;221;178;915
2001;15;PA;19501;78838;85504;0;2558;1178;1410;2911
2002;25;PB;12578;66520;99117;0;0;1423;1613;0
2002;11;RO;5297;34866;34106;0;1209;842;980;2392
2002;12;AC;2058;28023;9922;0;945;275;400;1055
2002;13;AM;10607;53916;35261;0;479;1271;1396;1302
2002;14;RR;8192;3327;438;0;567;486;173;630
2002;15;PA;18244;84243;109279;0;2703;1634;1816;3141
2002;16;AP;9789;8851;6617;0;368;224;181;936
2002;17;TO;1652;42711;33146;0;597;1305;233;1644
2002;21;MA;9624;55646;75483;0;3137;1708;881;4745
2002;22;PI;3850;61474;48181;0;1417;405;689;1903
2002;23;CE;15817;78657;155704;0;3047;1772;1087;3928
2002;24;RN;12190;6131;75555;0;0;1206;1443;723
2002;26;PE;22190;95103;157833;0;1042;2251;3164;4721
